ticker,year,collection_status,gap_reason,sec_archive_url,review_reason,review_decision,review_notes
AAPL,2018,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
AVGO,2016,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
AVGO,2017,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
AVGO,2018,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
BLK,2016,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
BLK,2017,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
BLK,2018,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
BLK,2019,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
BLK,2020,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
BLK,2021,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
BLK,2022,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
BLK,2023,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
BLK,2024,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
MCD,2022,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
SBUX,2024,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
XOM,2021,missing,no_def14a_filing_for_calendar_year,,no_def14a_filing_for_calendar_year,,
